"","var","rel.inf"
"dest","dest",49.5580089838076
"model","model",14.5326857478854
"sched_dep_time_num_minute","sched_dep_time_num_minute",13.5493254398213
"month","month",4.80306500511602
"carrier","carrier",4.20400172773493
"dewp","dewp",2.49613410163203
"origin","origin",1.85696550835384
"sched_arr_time_num_minute","sched_arr_time_num_minute",1.42547257335448
"day","day",1.28046984335875
"pressure","pressure",1.24517174891499
"precip","precip",1.22329617511239
"humid","humid",1.18521841434187
"temp","temp",0.953866951995052
"name","name",0.951601730695731
"wind_speed","wind_speed",0.332603566710293
"sched_dep_time_minute","sched_dep_time_minute",0.217595536846977
"wind_dir","wind_dir",0.0735946137760987
"manufacturer","manufacturer",0.0612103011113472
"visib","visib",0.0248994917240212
"sched_air_time","sched_air_time",0.0140026331293775
"sched_arr_time_minute","sched_arr_time_minute",0.00784764131113138
"distance","distance",0.0029622632664107
"lat","lat",0
"lon","lon",0
"alt","alt",0
"tz","tz",0
"dst","dst",0
"tzone","tzone",0
"year.y","year.y",0
"type","type",0
"engines","engines",0
"seats","seats",0
"engine","engine",0
